ID	Treatment	Date	Calib.Date	Day	Tank	Location	TA	Mass	Titration Salinity	Temperature_F	Temperature	pH (meter)	pH.mv.MT	Salinity	
OA3_23_11_10_T3	8.1	2023/11/10	23_11_10	22	T3	490 -20 deg C, shelf 1 (starting from top)	NA	60.303	37	79.1	26.16666667	7.918	-52.45452	37	
OA3_23_11_13_T1	7.2	2023/11/13	23_11_10	25	T1	490 -20 deg C, shelf 1 (starting from top)	2822.86852	60.176	37	77.6	25.33333333	7.29	-16.5706	37	
OA3_23_11_13_T2	7.6	2023/11/13	23_11_10	25	T2	490 -20 deg C, shelf 1 (starting from top)	2455.0539	59.679	36	79.6	26.44444444	7.6	-34.284	36	
OA3_23_11_13_T3	8.1	2023/11/13	23_11_10	25	T3	490 -20 deg C, shelf 1 (starting from top)	1334.26755	60.329	37	79.1	26.16666667	7.918	-52.45452	37	
OA3_23_11_15_T1	7.2	2023/11/15	23_11_10	27	T1	490 -20 deg C, shelf 1 (starting from top)	2874.03136	60.459	36	77.6	25.33333333	7.207	-11.82798	36	
OA3_23_11_15_T2	7.6	2023/11/15	23_11_10	27	T2	490 -20 deg C, shelf 1 (starting from top)	2468.2023	60.245	36	79.4	26.33333333	7.6	-34.284	36	
OA3_23_11_15_T3	8.1	2023/11/15	23_11_10	27	T3	490 -20 deg C, shelf 1 (starting from top)	1373.85325	60.424	36	79.1	26.16666667	7.888	-50.74032	36	
OA3_23_11_17_T1	7.2	2023/11/17	23_11_17	29	T1	490 -20 deg C, shelf 1 (starting from top)	2510.83165	60.121	34	78	25.55555556	7.106	-6.05684	40	
OA3_23_11_17_T2	7.6	2023/11/17	23_11_17	29	T2	490 -20 deg C, shelf 1 (starting from top)	2496.04328	60.459	37	79.4	26.33333333	7.587	-33.54118	37	
OA3_23_11_17_T3	8.1	2023/11/17	23_11_17	29	T3	490 -20 deg C, shelf 1 (starting from top)	1434.29294	59.564	36	79.2	26.22222222	7.783	-44.74062	36	
OA2_23_06_30_T1	7.2	23_06_30	23_06_30	1	T1	490 -20 deg C, shelf 2 (starting from top)	2476.992717	59.616	38.69	77	25	7.208	-11.88512	35	
OA2_23_06_30_T2	7.6	23_06_30	23_06_30	1	T2	490 -20 deg C, shelf 2 (starting from top)	2595.135546	60.027	37.49	77.9	25.5	7.535	-30.5699	35	
OA2_23_06_30_T3	8.1	23_06_30	23_06_30	1	T3	490 -20 deg C, shelf 2 (starting from top)	1169.867585	59.655	38.43	78.1	25.61111111	8.015	-57.9971	35	
OA2_23_07_03_T1	7.2	23_07_03	23_06_30	4	T1	490 -20 deg C, shelf 2 (starting from top)	2081.94093	60.182	42.45	77.1	25.05555556	7.248	-14.17072	38	
OA2_23_07_03_T2	7.6	23_07_03	23_06_30	4	T2	490 -20 deg C, shelf 2 (starting from top)	2631.046743	59.739	38.65	78.1	25.61111111	7.49	-27.9986	37	
OA2_23_07_03_T3	8.1	23_07_03	23_06_30	4	T3	490 -20 deg C, shelf 2 (starting from top)	1341.584664	60.202	38.74	78.3	25.72222222	7.98	-55.9972	37	
OA2_23_07_05_T1	7.2	23_07_05	23_06_30	6	T1	490 -20 deg C, shelf 2 (starting from top)	2478.853485	59.767	40.25	76.9	24.94444444	7.235	-13.4279	38	
OA2_23_07_05_T2	7.6	23_07_05	23_06_30	6	T2	490 -20 deg C, shelf 2 (starting from top)	2673.474769	60.314	37.87	77.7	25.38888889	7.582	-33.25548	37	
OA2_23_07_05_T3	8.1	23_07_05	23_06_30	6	T3	490 -20 deg C, shelf 2 (starting from top)	1507.76889	60.267	37.26	78.2	25.66666667	8.04	-59.4256	37	
OA2_23_07_07_T1	7.2	23_07_07	23_07_07	8	T1	490 -20 deg C, shelf 2 (starting from top)	1935.687133	60.145	39.23	76.3	24.61111111	7.087	-4.97118	38	
OA2_23_07_07_T2	7.6	23_07_07	23_07_07	8	T2	490 -20 deg C, shelf 2 (starting from top)	2372.839257	59.766	38.71	77.8	25.44444444	7.411	-23.48454	37	
OA2_23_07_07_T3	8.1	23_07_07	23_07_07	8	T3	490 -20 deg C, shelf 2 (starting from top)	1602.658574	59.981	36.63	78.1	25.61111111	8.1	-62.854	36	
OA2_23_07_10_T1	7.2	23_07_10	23_07_07	11	T1	490 -20 deg C, shelf 2 (starting from top)	2604.920684	60.144	37.79	77.1	25.05555556	7.378	-21.59892	37	
OA2_23_07_10_T2	7.6	23_07_10	23_07_07	11	T2	490 -20 deg C, shelf 2 (starting from top)	2016.306561	59.958	42.12	78.1	25.61111111	7.388	-22.17032	37	
OA2_23_07_10_T3	8.1	23_07_10	23_07_07	11	T3	490 -20 deg C, shelf 2 (starting from top)	1668.209544	60.352	37.45	78	25.55555556	7.98	-55.9972	37	
OA2_23_07_12_T1	7.2	23_07_12	23_07_07	13	T1	490 -20 deg C, shelf 2 (starting from top)	2630.655829	60.142	39.19	77.2	25.11111111	7.405	-23.1417	37	
OA2_23_07_12_T2	7.6	23_07_12	23_07_07	13	T2	490 -20 deg C, shelf 2 (starting from top)	2598.452871	59.567	40.76	78.3	25.72222222	7.487	-27.82718	38	
OA2_23_07_12_T3	8.1	23_07_12	23_07_07	13	T3	490 -20 deg C, shelf 2 (starting from top)	1547.502192	60.074	38.87	78.2	25.66666667	7.97	-55.4258	38	
OA2_23_07_14_T1	7.2	23_07_14	23_07_14	15	T1	490 -20 deg C, shelf 2 (starting from top)	2081.729348	59.872	40.43	77.1	25.05555556	7.205	-11.7137	37	
OA2_23_07_14_T2	7.6	23_07_14	23_07_14	15	T2	490 -20 deg C, shelf 2 (starting from top)	2022.771624	60.073	41.31	78	25.55555556	7.467	-26.68438	37	
OA2_23_07_14_T3	8.1	23_07_14	23_07_14	15	T3	490 -20 deg C, shelf 2 (starting from top)	1207.279154	59.853	40.1	78	25.55555556	7.961	-54.91154	36	
OA2_23_07_17_T1	7.2	23_07_17	23_07_14	18	T1	490 -20 deg C, shelf 2 (starting from top)	2634.193787	60.494	38.52	76.8	24.88888889	7.394	-22.51316	37	
OA2_23_07_17_T2	7.6	23_07_17	23_07_14	18	T2	490 -20 deg C, shelf 2 (starting from top)	2476.599738	60.327	40	78.1	25.61111111	7.493	-28.17002	37	
OA2_23_07_17_T3	8.1	23_07_17	23_07_14	18	T3	490 -20 deg C, shelf 2 (starting from top)	1558.276583	59.801	38.04	77.9	25.5	7.978	-55.88292	37	
OA2_23_07_19_T1	7.2	23_07_19	23_07_14	20	T1	490 -20 deg C, shelf 2 (starting from top)	2953.110448	59.924	37.56	76.5	24.72222222	7.239	-13.65646	39	
