Exp	tank	Cell	Control	ID	Shell Radius Circle	Shell Diameter	Nchamber	Proloculus Radius Circle	Proloculus Diameter	Structure	ReproductiveStage
OA2	pH 8.1	H7	Dead	OA2 T3 H7 Dead	187.29	374.58	18	22.81	45.62	Ornamentation	Microsphere
OA3	pH 8.1	H5	Live	OA3 T3 H5 Live	200.35	400.7	21	20.77	41.54	Ornamentation	Microsphere
OA2	pH 8.1	H6	Dead	OA2 T3 H6 Dead	208.38	416.76	24	18.53	37.06	Ornamentation	Microsphere
OA3	pH 8.1	H1	Live	OA3 T3 H1 Live	191.93	383.86	20	19.1	38.2	Ornamentation	Microsphere
OA3	pH 8.1	H6	Dead	OA3 T3 H6 Dead	219.65	439.3	26	18.25	36.5	Ornamentation	Microsphere
OA2	Untreated	H1	Live	OA2 C1 H1 Live	148.55	297.1	13	22.77	45.54	No ornamentation (except in last chamber)	Megalosphere
OA2	Untreated	H5	Live	OA2 C1 H5 Live	196.61	393.22	14	31.77	63.54	No ornamentation	Megalosphere
OA2	Untreated	H2	Live	OA2 C1 H2 Live	188.51	377.02	14	32.71	65.42	No ornamentation	Megalosphere
OA2	Untreated	H4	Live	OA2 C1 H4 Live	212.08	424.16	16	32.42	64.84	No ornamentation	Megalosphere
OA3	Untreated	H2	Live	OA3 C1 H2 Live	121.02	242.04	15	18.58	37.16	Some ornamentation	Microsphere
OA3	Untreated	H6	Live	OA3 C1 H6 Live	127.14	254.28	15	17.33	34.66	Some ornamentation	Microsphere
OA3	Untreated	H7	Live	OA3 C1 H7 Live	134.43	268.86	17	17.97	35.94	Ornamentation	Microsphere
OA2	Untreated	H7	Live	OA2 C1 H7 Live	165.04	330.08	18	19.22	38.44	Ornamentation	Microsphere
OA3	Untreated	H8	Live	OA3 C1 H8 Live	159.08	318.16	18	19.08	38.16	Some ornamentation	Microsphere
OA2	Untreated	H6	Live	OA2 C1 H6 Live	162.49	324.98	22	8.21	16.42	Ornamentation	Microsphere
OA2	Untreated	H3	Live	OA2 C1 H3 Live	181.38	362.76	20	19.7	39.4	Ornamentation	Microsphere
OA3	Untreated	H1	Live	OA3 C1 H1 Live	180.51	361.02	22	16.66	33.32	Ornamentation	Microsphere
OA3	Untreated	H4	Live	OA3 C1 H4 Live	199.07	398.14	20	23.15	46.3	Ornamentation	Microsphere
OA2	Untreated	H8	Live	OA2 C1 H8 Live	211.69	423.38	22	21.3	42.6	Ornamentation	Microsphere
OA2	pH 7.2	H1	Dead	OA2 T2 H1 Dead	158.89	317.78	13	25.86	51.72	No ornamentation	Megalosphere
OA3	Untreated	H3	Live	OA3 C1 H3 Live	176.1	352.2	23	18.05	36.1	Ornamentation	Microsphere
OA3	pH 7.2	H5	Live	OA3 T1 H5 Live	185.98	371.96	21	18.05	36.1	Some ornamentation	Microsphere
OA3	pH 7.6	H4	Dead	OA3 T2 H4 Dead	203.38	406.76	16	30.09	60.18	No ornamentation	Megalosphere
