mVTris	TTris
-85.5	18.8
-85.1	19.7
-84.8	20.2
-84.4	20.6
-83.7	20.9
-83	21.3
-82.2	22.1
-81.5	22.6
-81	23.2
-80.6	23.7
-80.1	24.1
-79.4	24.7
-78.9	25.1
