mVTris	TTris
-100.9	7.5
-100	9
-98.3	9.7
-97.5	10.5
-95.9	11.7
-95	12.6
-94.3	13.5
-92.7	14.5
-91.5	15.4
-90.2	16.4
-89.3	17.4
-88	18.4
-86.5	19.6
-85.2	20.9
-84.1	21.6
-83.5	22.2
-82.5	23.5
-81.5	24.2
-80.5	25
