mVTris	TTris
-82.5	16.9
-81.4	18.5
-80.6	19
-79.8	19.8
-79	20.4
-78.3	21.2
-77.6	21.9
-76.7	22.6
-76.1	23.1
-75.4	23.6
-75.1	23.9
-74.5	24.3
-74	25
