mVTris	TTris
-92.9	12.8
-92.5	13.5
-92.2	14
-91.7	14.5
-91.2	15
-91	15.5
-90.4	16
-89.7	16.5
-89.2	17
-88.6	17.5
-87.7	18
-87	19
-86.3	19.5
-85.6	20
-84.4	21
-83.5	21.5
-82.5	22.5
-82	23
-81.2	23.5
-80.8	24
-80.1	24.5
-79.8	25
