mVTris	TTris
-99.6	10
-98.2	11.5
-97.6	12
-96.4	13
-94.2	14
-93.6	15
-92.2	15.9
-91.1	18.6
-89.7	17.9
-88.3	18.9
-87.6	19.5
-86.7	20.5
-85.1	21.5
-84.2	22.2
-83.3	22.9
-82.2	23.7
-81.6	24.6
-81.1	25
