mVTris	TTris
-81.8	15.9
-81.1	16.3
-80.5	16.9
-80	17.5
-79.7	18.9
-78.5	19.1
-78.9	19.9
-78.2	20.2
-77.6	20.8
-76.9	21.3
-76.3	21.7
-75.7	22.6
-75.3	22.9
-75	23.5
-74.7	24.7
-74.2	24.9
-73.9	25.3
