mVTris	TTris
-88.8	11.4
-89.5	12.5
-88.4	14.1
-86.6	14.7
-85.6	15.6
-85.8	16.5
-84.1	17.2
-83.1	18
-81.9	18.8
-80.8	19.6
-79.9	20.2
-78.8	21.8
-77.6	22.5
-76.8	23.2
-76.4	23.9
-74.6	25.2
